claim_id,claim_text,location,claim_type,source,evidence_type,verified_by,status,allowed_wording
C01,"A model sees a task it was never trained on, watches a few examples, and solves it — without changing its weights.",web/index.html header (sub),our measured result,"run_episode + telemetry (Δθ=0, Δs≠0), test split",live computation,test_phase3.py + provenance envelope,VERIFIED,"Keep; scope line (toy systems, not frontier LMs) appears in honesty notice directly below."
C02,"Small interpretable toy systems that isolate inference-time adaptation mechanics. NOT a frontier LM, ARC-AGI, or official BDH software.",web/index.html honesty notice,interpretation (scope guard),architecture_freeze.md + dossiers,n/a (scope statement),manual review 2026-09-07,VERIFIED,Keep verbatim.
C03,"Rule drawn from the held-out test pool (split=test); the controlled model holds no trained task weights.",web/index.html flagship,our measured result,"tasks.generate_task(split=test); linear = fresh continuous rule per seed (seed-disjoint)",live computation,test_tasks_v2.py + server holdout note,VERIFIED,"Keep; server _holdout() documents the linear continuous-space caveat — UI wording must not imply a disjoint rule pool for linear."
C04,"DEMONSTRATIONS → state update s = s + phi(x,y) per example; persistent parameters θ fixed (Δθ = 0).",web/index.html mechanism box,definition (controlled model),src/adapt/strategies.py (state strategy),code inspection,test_strategies.py,VERIFIED,Keep; box is explicitly scoped to the CONTROLLED variant.
C05,"Learned recurrent variant: s_t = tanh(W_s·s + W_e·[phi(x);y] + b_s) with frozen meta-learned weights.",web/index.html mechanism box,definition (learned model),src/adapt/learned.py,code inspection,test_analytical_v2.py,VERIFIED,Keep.
C06,"BDH: scale-free graph of locally interacting neuron particles; working memory in synaptic state σ via Hebbian updates; sparse positive activations.",web/index.html BDH bridge,published fact,"BDH paper (arXiv 2025); Equations of Reasoning; pathwaycom/bdh repo",published description,research/bdh/bdh_dossier.md v1.0,VERIFIED,"Keep; must retain the 'Sources:' line and must never drop the educational-implementation disclaimer (C07)."
C07,"Educational implementation (not official BDH code) of the published update form σ ← σ + η·x·yᵀ.",web/index.html BDH bridge,illustration,our code (app.js local arithmetic),labeled illustration,manual review 2026-09-07,VERIFIED,Keep verbatim; the disclaimer is load-bearing.
C08,"BDH-CQ: demonstrations update recurrent memory, query solved by iterative latent computation; 150M, 29.5% pass@2 on ARC-AGI-1 at computed $0.0007/task (do not generalize beyond that configuration).",web/index.html BDH-CQ bridge,published fact,BDH-CQ paper (arXiv 2026),published empirical,research/bdh/bdhcq_dossier.md §4,VERIFIED,"Keep; scope guard ('configuration-specific', 'computed cost') is mandatory and present."
C09,"Perturb/restore: causal weight rests on swap and nullmean — shuffle-failure alone proves nothing about information content.",web/index.html E8 copy,interpretation,research/experiments/008_intervention_linear/results.json + E9 mechanistic,our experiment,test_intervention_v2.py,VERIFIED,Keep.
C10,"Inference-time adaptation can succeed without persistent parameter changes, storing the new rule in evolving state — but that state's capacity and dynamics limit retention.",research/claim/central_claim.md v2,hypothesis (candidate — NOT a finding),preregistration candidate; supported by E1–E8 toy results,our experiments + published literature,claim status header + falsification_criteria.md,VERIFIED-AS-HYPOTHESIS,"Keep only with the CANDIDATE HYPOTHESIS status header; never present as established fact."
C11,"Garg et al. show Transformers meta-trained on function classes can perform in-context regression matching simple estimators.",research/literature/evidence_matrix.csv,published fact,Garg et al. 2022 NeurIPS,published empirical,evidence matrix row,VERIFIED,Keep with citation.
C12,"Akyurek et al. report 53.0% ARC public validation with 8B LM (61.9% with synthesis).",research/literature/evidence_matrix.csv,published fact,Akyurek et al. 2025 ICML,published empirical,evidence matrix row,VERIFIED,"Keep; setup-specificity qualifier mandatory."
C13,"BDH paper describes a post-Transformer scale-free architecture with Hebbian synaptic working memory and sparse positive activations.",research/literature/evidence_matrix.csv,published fact,BDH paper arXiv 2025,published empirical,bdh_dossier.md,VERIFIED,Keep; see dossier for verbatim equations.
C14,"Precomputed experiment (badge): vetted research run, re-stamped execution_type: precomputed.",web lab + server.py _prov(),our measured result,experiments/run_sweeps.py → results.json,precomputed w/ provenance,docs/provenance.md D3.10,VERIFIED,Keep.
C15,"Learned lab results served from vetted checkpoints.",web lab + server.py,our measured result,checkpoints/learned_*_s0.npz + E9 protocol,precomputed checkpoint + live inference,phase2_validation_report.md,VERIFIED,Keep; checkpoints frozen (D5.1).
C16,"R1/R2 reproduction outputs (pins: bdh@2b0d7a4, bdh-cq@c246f89, torch 2.14.0+cpu).",research/bdh/reproductions/,independent reproduction,official repos at pinned commits,our reproduction,R1_results.md + R2_results.md,VERIFIED,"Keep; structure = PUBLISHED/OFFICIAL, probes = TOY_EXPERIMENT — never merge the two labels."
C17,"If a model learns a new task, it must have changed its weights. True or false? (pre-test Q1)",web/index.html pre-test,misconception probe (item M2),evaluation_plan.md (M1–M5 coding),local quiz key,scripts/analyze_sessions.py,VERIFIED,"Keep; flagged by terminology scan but it is a deliberate misconception probe, not an endorsement — post-test + WHAT CHANGED box resolve it."
C18,"State dimension is a controlled proxy for memory capacity, not memory itself.",web/index.html bottleneck copy,interpretation,E4 state-capacity sweep results,our experiment + labeled proxy,fig4_capacity.png,VERIFIED,Keep; the 'proxy' qualifier is mandatory.
C19,"A→B→A forgetting window: after learning B, Task A accuracy degrades (interference).",web/index.html + fig5,our measured result,E5 interference results (linear + symbolic),our experiment,fig5_interference_*.png + results.json,VERIFIED,"Keep with family scope (linear/symbolic toy); never generalize to all continual learning."
C20,"More inference compute must always improve performance. (tracked as misconception M5)",docs/evaluation_protocol.md,misconception probe,E3 compute-scaling results (saturating curves),our experiment,fig3_compute.png,VERIFIED,"Keep as tracked misconception; E3 curves show saturation — the artifact must not imply monotonic gains."
