claim,source,paper_section,evidence_type,official_result,independent_result,our_reproduction,confidence,allowed_wording
"BDH: scale-free locally-interacting neuron network","BDH paper 2509.26507 + official README","Arch/Overview",PUBLISHED_EMPIRICAL,yes,no,no,high,"Paper describes a scale-free network of locally interacting neuron particles"
"BDH: working memory via synaptic plasticity/Hebbian learning","BDH paper + README key properties","Memory",PUBLISHED_EMPIRICAL,yes,no,no,high,"BDH paper describes working memory as relying on synaptic plasticity with Hebbian learning"
"BDH: concept-related synaptic strengthening","BDH paper","Results",PUBLISHED_EMPIRICAL,yes,no,no,medium,"Authors report concept-related synaptic strengthening"
"BDH: sparse positive activations","BDH paper + Equations p.4 (Fig.14)","Arch",PUBLISHED_EMPIRICAL,yes,no,no,high,"Paper reports sparse positive activations; GPU neurons less active on predictable input"
"BDH: GPU-friendly state-space formulation","paper + README","Impl",OFFICIAL_REPORT,yes,no,no,high,"Authors describe a GPU-oriented state-space formulation (not a Mamba-style SSM identity)"
"BDH: matches GPT-2-scale Transformers 10M-1B","official README Overview","Benchmarks",OFFICIAL_REPORT,yes,no,no,medium,"README reports parity with GPT-2-scale Transformers at equivalent scales"
"BDH: 4-round local cycle (4l read / 4l+1 Hebbian write / 4l+2 gated readout / 4l+3 state update)","Equations of Reasoning p.4","Supplement",OFFICIAL_REPORT,yes,no,no,high,"Equations page describes the 4-round cycle (educational renderings labeled as such)"
"BDH: 97.4% Sudoku Extreme (~250k puzzles, no CoT/tools)","official README Sudoku section","Official report",OFFICIAL_REPORT,yes,no,no,medium,"Reported for Pathway's internal BDH implementation (NOT the open-source baseline)"
"Open-source BDH repo does NOT reproduce 97.4% out of the box","official README note (verbatim)","Repo",OFFICIAL_REPORT,yes,no,no,high,"Repository contains the baseline paper variant; does not reproduce 97.4% out of the box"
"BDH-CQ: inference inputs continuously update recurrent memory","BDH-CQ paper 2608.09888 (abstract)","Abstract",PUBLISHED_EMPIRICAL,yes,no,no,high,"Paper says inputs presented during inference continuously update recurrent memory"
"BDH-CQ: query solved by iterative latent computation, no verbal CoT","BDH-CQ paper (abstract)","Abstract",PUBLISHED_EMPIRICAL,yes,no,no,high,"Paper describes query solving through iterative latent computation without verbal trace"
"BDH-CQ: no inference-time parameter update in described mechanism","BDH-CQ paper (abstract)","Abstract",PUBLISHED_EMPIRICAL,yes,no,no,high,"Described inference mechanism does not involve parameter updates; memory evolves"
"BDH-CQ: 150M / 29.5% pass@2 / $0.0007 per task on ARC-AGI-1","BDH-CQ paper (abstract)","Abstract",PUBLISHED_EMPIRICAL,yes,no,no,high,"Authors report 29.5% pass@2 on ARC-AGI-1 for the 150M config at computed $0.0007/task in their setup"
"BDH-CQ: controlled ARC-like interventions study demo-learning/consistency/difficult concepts","BDH-CQ paper (abstract)","Abstract",PUBLISHED_EMPIRICAL,yes,no,no,high,"Paper evaluates with controlled ARC-like interventions on what is learned from demonstrations"
"lucidrains/bdh-cq is third-party WIP, not official","repo README title + paper author list","Repo",OFFICIAL_REPORT,no,no,no,high,"Third-party work-in-progress implementation; not the official Pathway implementation"
"Our state strategy adapts with Δθ=0, Δs≠0 (linear, seed 7)","engine run_episode + telemetry","TOY_EXPERIMENT",TOY_EXPERIMENT,no,no,yes (controlled),high,"Controlled experiment: behavior acquired while persistent parameters stayed fixed"
"Our E8: swap/nullmean perturb/restore shows state necessity","engine intervene + 008 results","TOY_EXPERIMENT",TOY_EXPERIMENT,no,no,yes (controlled),high,"Matched-counterfactual intervention; shuffle-failure alone not claimed as removal"
"Our E5: A→B→A retention loss (interference)","engine interference + 005 results","TOY_EXPERIMENT",TOY_EXPERIMENT,no,no,yes (controlled),high,"Sequential adaptation degrades Task A; shared transient memory, not a bug"
"Our model == official BDH/BDH-CQ","—","—",NEVER,,,,"—","NEVER claim; wording: controlled experimental analogue"
