Paper,Year,Venue,Primary Source URL,Concept,Research Question,Method,Adaptation Substrate,Training-Time Change,Inference-Time Change,Task Type,Dataset,Main Result,Relevant Equation,Relevant Figure,Limitation,Evidence Type,Recency Class,Reproduced by Us?,Can We Cite It?,Exact Claim We Can Make
Sun et al. Test-Time Training,2020,ICML,https://proceedings.mlr.press/v119/sun20b.html,Test-Time Training,Can test-time self-supervised update help distribution shift?,Self-supervised loss then param update at test time,Weights (persistent params),Standard training,Param update via auxiliary self-supervised loss,Image classification under shift,Various vision benchmarks,Improves robustness under shift in their setup,theta' = theta - eta grad L_self,TTT loop diagram,Self-supervised task must be designed per domain,PUBLISHED_EMPIRICAL,Historical / foundational (does NOT count toward 2022-2026 requirement),No,Yes,"Sun et al. (2020) introduced TTT as inference-time param update via a self-supervised objective"
Schlag et al. Fast Weight Programmers,2021,ICML,https://proceedings.mlr.press/v139/schlag21a.html,Fast weights and linear attention,Are linear attention and fast weights equivalent?,Analysis of linearized attention as outer-product memory,Fast memory (working definition),Standard training,Dynamic fast associative memory write,Sequence modeling,Various,Formal equivalence linear attention = fast weight programmer,Attention update as outer-product write,Equivalence diagram,Linearized attention only — not full softmax attention,FORMAL,Historical / foundational,No,Yes,Linearized attention can be interpreted as dynamically programming a fast associative memory
Garg et al. What Can Transformers Learn In-Context,2022,NeurIPS,https://arxiv.org/abs/2208.01066,ICL as learned algorithm,What function classes can ICL learn?,Train Transformers on synthetic function classes then test in-context,Context (ADAPT working definition; activations/attention computation),Meta-training on function distribution,No param update at inference; conditioning on D,Function-class regression in context,Synthetic (linear / sparse / decision trees),Transformers match least-squares / sparse recovery baselines in-context,y = f_theta(D x),ICL accuracy vs demos,Restricted to meta-training distribution,PUBLISHED_EMPIRICAL,Recent (counts toward 2022-2026),No,Yes,Garg et al. show Transformers meta-trained on function classes can perform in-context regression matching simple estimators
von Oswald et al. Transformers Learn In-Context by Gradient Descent,2023,ICML,https://proceedings.mlr.press/v202/von-oswald23a.html,ICL as implicit optimization,Can a linear attention layer emulate a GD step?,Construction plus empirical match single attention layer to GD on regression,Context / computation (no explicit param update),Meta-training for ICL,Forward-pass algorithmic computation only (no theta change),Linear regression in context,Synthetic regression,Single linear self-attention layer matches GD in controlled setting,y = f_theta(D x) approx one GD step,Attention-vs-GD match plot,Holds only in controlled linear setting — not general LLMs,PUBLISHED_EMPIRICAL,Recent (counts),No,Yes,In controlled regression settings a linear self-attention layer can implement GD-like computation without weight change
Li et al. In-Context Algorithm Learning,2023,NeurIPS,https://arxiv.org/abs/2307.16893,ICL as algorithm selection,Does ICL implement model selection over hypotheses?,Bayesian / algorithmic analysis of ICL on mixture tasks,Context (activations/attention),Meta-training,No param update at inference,Mixture function tasks in context,Synthetic mixtures,ICL approximates Bayes-optimal selection over pretraining mixture,y = f_theta(D x) as posterior predictive,Model-selection curves,Depends on pretraining mixture coverage,PUBLISHED_EMPIRICAL,Recent (counts),No,Yes,Li et al. formalize ICL as approximate Bayesian inference over the meta-training task mixture
Hardt and Sun Test-Time Training on Nearest Neighbors,2024,ICLR (poster) + arXiv,https://arxiv.org/abs/2305.18466,TTT via retrieved neighbors,Does per-example test-time fine-tuning on neighbors help LM?,Retrieve nearest neighbors then fine-tune at test time then predict,Weights (persistent params),Standard pretraining,Per-inference param update on retrieved set,Language modeling,LM benchmarks (Pile-derived),Consistent perplexity gains across tasks in their setup,theta' = theta - eta grad L_neighbors,Neighbor-gain plot,Per-example optimization cost; retrieval dependence,PUBLISHED_EMPIRICAL,Recent (counts),No,Yes,Hardt and Sun report test-time fine-tuning on retrieved neighbors improves LM likelihood at the cost of per-inference optimization
Akyurek et al. Test-Time Training for Abstract Reasoning,2025,ICML,https://arxiv.org/abs/2411.07279,TTT for few-shot reasoning,Can inference-time optimization help ARC/BBH?,Construct loss from demos then temporary param update then predict on query,Weights (temporary task params),Standard pretraining (up to 8B LM),Temporary param update at inference reset per task,ARC / BBH reasoning,ARC-AGI public validation / BBH,53.0% ARC public validation (8B); 61.9% with program synthesis; ~6x over compared fine-tuned baselines in their setup,theta_{t+1} = theta_t - eta grad L_D,ARC gain figure,Heavy inference cost; result is setup/model/baseline-specific,PUBLISHED_EMPIRICAL,Recent (counts),No,Yes,"Akyurek et al. report 53.0% ARC public validation with an 8B LM (61.9% with synthesis) — explicit TTT substantially improves novel-task adaptation in their setup; numbers are not universal"
Sun et al. TTT-Linear and TTT-MLP,2025,ICML,https://proceedings.mlr.press/v267/sun25h.html,Learned-state TTT,Can hidden state itself be a learned model updated at test time?,Hidden state parameterized as linear model / MLP; update via self-supervised gradient,Learned state S (state is computational machinery),Architecture with learned hidden model,State update S_t <- S_{t-1} - eta grad L_t(S) (theta fixed),Long-context sequence modeling,Long-context benchmarks,Strong long-context results vs Transformer and Mamba baselines at 125M-1.3B in their setup,S_t update rule,Long-context scaling plot,Complexity of state optimizer; architecture-specific,PUBLISHED_EMPIRICAL,Recent (counts),No,Yes,TTT-Linear/MLP shows hidden state can be a learned model updated by a learning objective — state is machinery not just a vector
Behrouz et al. Titans,2024 (arXiv Dec 2024),NeurIPS 2024 (spotlight) + arXiv,https://arxiv.org/abs/2501.00663,Test-time neural memory,Can a deep neural memory memorize history at test time?,Surprise-driven gradient memory update plus attention short-term core,Neural long-term memory + attention STM,Trained memory module,Memory update at inference (core params fixed; memory evolves),Language modeling / long-context / recall,BABILong / NIAH / LM benchmarks,Scales to 2M+ token effective context in their setup; memory ablations show gains,M_t update via surprise gradient with momentum + decay,Long-context accuracy vs length,No official implementation at publication; some architectural details underspecified,PUBLISHED_EMPIRICAL,Recent (counts),No,Yes with qualification,Titans introduces a neural long-term memory updated at test time alongside attention STM; long-context claims are setup-specific
Behrouz et al. ATLAS,2025,ICML 2026 poster + arXiv,https://arxiv.org/abs/2505.23735,Optimal test-time memorization,Can memory be optimized over context windows not just last token?,Omega rule (window loss) plus higher-order features plus Muon optimizer for memory,High-capacity neural memory (context-level),Trained memory + optimizer,Memory optimization over context window at inference (core params fixed),LM / commonsense / recall / long-context,LM + BABILong (+80% at 10M context vs Titans in their setup),+80% BABILong 10M-context accuracy over Titans in their setup; DeepTransformer generalization claim,min_M sum_{i=t-c+1..t} ||M(k_i)-v_i||^2 with Muon update,Context-length scaling,Setup-specific long-context numbers; Muon memory cost,PUBLISHED_EMPIRICAL,Recent (counts),No,Yes with qualification,"ATLAS optimizes a neural memory over a context window at test time; authors report large long-context gains in their setup — not universal; authors prefer term 'test-time memorization' (core params fixed)"
